EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,7.39302e-06,135263,7.39302e-06,135153,1.35263e+07
2,100,1.47909e-05,67609.2,2.95818e-05,66947.1,6.76092e+06
3,100,2.17574e-05,45961.5,6.52721e-05,44980.9,4.59615e+06
4,100,2.829e-05,35348.2,0.00011316,34026.1,3.53482e+06
5,100,3.6566e-05,27347.8,0.00018283,26688.5,2.73478e+06
6,100,3.954e-05,25290.8,0.00023724,22763,2.52908e+06
7,100,4.77318e-05,20950.4,0.000334123,19339.9,2.09504e+06
8,100,4.73722e-05,21109.4,0.000378978,18004,2.11094e+06
9,100,5.71494e-05,17498,0.000514344,15310.8,1.7498e+06
10,100,5.43782e-05,18389.7,0.000543782,14627.2,1.83897e+06
11,100,5.01324e-05,19947.2,0.000551456,13505.1,1.99472e+06
12,100,7.20156e-05,13885.9,0.000864187,11392.9,1.38859e+06
13,100,7.37196e-05,13564.9,0.000958354,10848,1.35649e+06
14,100,6.33992e-05,15773.1,0.000887589,11182.9,1.57731e+06
15,100,7.00355e-05,14278.5,0.00105053,9712.55,1.42785e+06
16,100,6.54771e-05,15272.5,0.00104763,10402.1,1.52725e+06
17,100,6.98782e-05,14310.6,0.00118793,9522.36,1.43106e+06
18,100,7.43451e-05,13450.8,0.00133821,9167.06,1.34508e+06
19,100,7.7411e-05,12918.1,0.00147081,8576.81,1.29181e+06
20,100,7.36751e-05,13573.1,0.0014735,8648.96,1.35731e+06
21,100,8.33177e-05,12002.2,0.00174967,9046.13,1.20022e+06
22,100,6.91887e-05,14453.2,0.00152215,9073.87,1.44532e+06
23,100,9.21007e-05,10857.7,0.00211832,8079.96,1.08577e+06
24,100,9.19495e-05,10875.5,0.00220679,7573.11,1.08755e+06
25,100,8.66505e-05,11540.6,0.00216626,7535.38,1.15406e+06
26,100,9.55585e-05,10464.8,0.00248452,7350.54,1.04648e+06
27,100,9.08822e-05,11003.2,0.00245382,6886.08,1.10032e+06
28,100,9.1552e-05,10922.8,0.00256345,6748.58,1.09228e+06
29,100,9.81159e-05,10192,0.00284536,6502.43,1.0192e+06
30,100,9.98283e-05,10017.2,0.00299485,6018.01,1.00172e+06
31,100,9.44349e-05,10589.3,0.00292748,5893.8,1.05893e+06
32,100,9.7002e-05,10309.1,0.00310406,5635.09,1.03091e+06
33,100,9.37975e-05,10661.3,0.00309532,5513.56,1.06613e+06
34,100,9.77645e-05,10228.7,0.00332399,5186.15,1.02287e+06
35,100,9.56779e-05,10451.7,0.00334873,5099.34,1.04517e+06
36,100,9.12849e-05,10954.7,0.00328626,4946.87,1.09547e+06
37,100,8.94935e-05,11174,0.00331126,4883,1.1174e+06
38,100,9.05193e-05,11047.4,0.00343973,4716.24,1.10474e+06
39,100,9.14131e-05,10939.4,0.00356511,4408.26,1.09394e+06
40,100,9.59345e-05,10423.8,0.00383738,4286.14,1.04238e+06
41,100,9.6674e-05,10344,0.00396364,4168.86,1.0344e+06
42,100,9.40575e-05,10631.8,0.00395041,4240.42,1.06318e+06
43,100,9.42088e-05,10614.7,0.00405098,4083.69,1.06147e+06
44,100,9.3358e-05,10711.5,0.00410775,4064.08,1.07115e+06
45,100,9.12589e-05,10957.8,0.00410665,3903.06,1.09578e+06
46,100,9.46346e-05,10567,0.00435319,3923.94,1.0567e+06
47,100,9.56502e-05,10454.8,0.00449556,3764.2,1.04548e+06
