EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.00174651,572.57,0.00174651,534.24,57257
2,100,0.00321203,311.33,0.00642405,267.27,31133
3,100,0.00404367,247.3,0.012131,183.907,24730
4,100,0.00417275,239.65,0.016691,151.465,23965
5,100,0.00435161,229.8,0.0217581,117.644,22980
6,100,0.00457666,218.5,0.02746,98.5567,21850
7,100,0.00381156,262.36,0.0266809,88.79,26236
8,100,0.00360724,277.22,0.0288579,82.73,27722
9,100,0.00413428,241.88,0.0372085,63.7778,24188
10,100,0.003781,264.48,0.03781,61.787,26448
11,100,0.00375912,266.02,0.0413503,55.5345,26602
12,100,0.00340321,293.84,0.0408386,51.1183,29384
13,100,0.00312422,320.08,0.0406148,47.9108,32008
14,100,0.00299294,334.12,0.0419011,42.9793,33412
15,100,0.00267351,374.04,0.0401027,42.6553,37404
16,100,0.00255474,391.43,0.0408758,42.8175,39143
17,100,0.00257559,388.26,0.0437851,37.0682,38826
18,100,0.00241552,413.99,0.0434793,37.8256,41399
19,100,0.00220298,453.93,0.0418567,33.5237,45393
20,100,0.00216408,462.09,0.0432816,31.5855,46209
21,100,0.00199112,502.23,0.0418135,30.541,50223
22,100,0.00225098,444.25,0.0495217,26.7691,44425
23,100,0.0018815,531.49,0.0432746,28.5809,53149
24,100,0.00191487,522.23,0.0459568,25.3904,52223
25,100,0.00186345,536.64,0.0465862,23.8828,53664
26,100,0.00169687,589.32,0.0441186,23.3085,58932
27,100,0.00162151,616.71,0.0437807,22.7504,61671
28,100,0.00161358,619.74,0.0451802,21.9264,61974
29,100,0.00151265,661.09,0.0438669,21.3066,66109
30,100,0.00141774,705.35,0.0425321,22.0067,70535
31,100,0.00134018,746.17,0.0415455,22.0165,74617
32,100,0.00129226,773.84,0.0413522,20.985,77384
33,100,0.00134698,742.4,0.0444504,19.2745,74240
34,100,0.00125135,799.14,0.0425457,19.1894,79914
35,100,0.00126053,793.32,0.0441184,18.8143,79332
36,100,0.0012276,814.6,0.0441935,17.4114,81460
37,100,0.00119758,835.02,0.0443103,17.8984,83502
38,100,0.00109037,917.12,0.0414341,17.8842,91712
39,100,0.00109542,912.89,0.0427215,16.5177,91289
40,100,0.00108817,918.97,0.043527,15.9515,91897
41,100,0.00107369,931.37,0.0440212,16.2456,93137
42,100,0.00100948,990.61,0.0423981,15.9619,99061
43,100,0.00104318,958.61,0.0448566,15.1395,95861
44,100,0.00108383,922.65,0.0476887,14.3652,92265
45,100,0.000993878,1006.16,0.0447245,13.9493,100616
46,100,0.000967848,1033.22,0.044521,13.9889,103322
47,100,0.000958708,1043.07,0.0450593,13.9611,104307
48,100,0.000913643,1094.52,0.0438548,13.2656,109452
49,100,0.000918147,1089.15,0.0449892,13.0692,108915
50,100,0.000876708,1140.63,0.0438354,12.9394,114063
51,100,0.000857405,1166.31,0.0437277,12.4104,116631
52,100,0.000881756,1134.1,0.0458513,12.0838,113410
53,100,0.000787402,1270,0.0417323,11.9108,127000
54,100,0.000796153,1256.04,0.0429923,12.0228,125604
55,100,0.000836421,1195.57,0.0460032,11.656,119557
56,100,0.000818632,1221.55,0.0458434,11.8139,122155
57,100,0.000762015,1312.31,0.0434349,11.8584,131231
58,100,0.000765064,1307.08,0.0443737,11.7769,130708
59,100,0.000710162,1408.13,0.0418995,11.6785,140813
60,100,0.000670529,1491.36,0.0402317,11.8667,149136
61,100,0.000674823,1481.87,0.0411642,12.0728,148187
62,100,0.000659105,1517.21,0.0408645,11.355,151721
63,100,0.000655549,1525.44,0.0412996,10.6254,152544
64,100,0.000656896,1522.31,0.0420414,10.5519,152231
64,100,0.000680129,1470.31,0.0435282,10.7064,147031
64,100,0.000682897,1464.35,0.0437054,11.3441,146435
64,100,0.000694951,1438.95,0.0444769,10.3703,143895
64,100,0.000747161,1338.4,0.0478183,9.79078,133840
64,100,0.000681538,1467.27,0.0436184,10.5308,146727
64,100,0.000654497,1527.89,0.0418878,10.6477,152789
64,100,0.000700678,1427.19,0.0448434,10.6175,142719
64,100,0.000659074,1517.28,0.0421807,10.8759,151728
64,100,0.000684027,1461.93,0.0437777,10.2353,146193
64,100,0.000714413,1399.75,0.0457225,9.93047,139975
64,100,0.00070815,1412.13,0.0453216,10.4094,141213
64,100,0.000657436,1521.06,0.0420759,11.0281,152106
64,100,0.000695855,1437.08,0.0445348,10.2248,143708
64,100,0.000695788,1437.22,0.0445304,10.0861,143722
64,100,0.000689636,1450.04,0.0441367,10.4244,145004
64,100,0.000724491,1380.28,0.0463674,10.1586,138028
64,100,0.000716009,1396.63,0.0458246,10.19,139663
64,100,0.000649798,1538.94,0.0415871,10.2386,153894
64,100,0.00070207,1424.36,0.0449325,10.2928,142436
64,100,0.000692938,1443.13,0.044348,10.4519,144313
64,100,0.000706709,1415.01,0.0452294,10.2873,141501
64,100,0.000643327,1554.42,0.0411729,10.3716,155442
64,100,0.000649616,1539.37,0.0415754,10.8972,153937
64,100,0.000703987,1420.48,0.0450552,10.3405,142048
64,100,0.000683149,1463.81,0.0437215,10.2622,146381
64,100,0.00066194,1510.71,0.0423642,10.2136,151071
64,100,0.000713862,1400.83,0.0456872,10.1667,140083
64,100,0.000710515,1407.43,0.045473,10.0337,140743
64,100,0.000656224,1523.87,0.0419983,10.4334,152387
64,100,0.000665509,1502.61,0.0425926,10.4016,150261
64,100,0.000656478,1523.28,0.0420146,10.7067,152328
64,100,0.000652822,1531.81,0.0417806,10.4944,153181
64,100,0.000680365,1469.8,0.0435433,10.7408,146980
64,100,0.000627739,1593.02,0.0401753,11.6897,159302
64,100,0.000656767,1522.61,0.0420331,10.8663,152261
64,100,0.000670704,1490.97,0.0429251,10.8306,149097
