EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.0118963,84.06,0.0118963,51.52,8406
2,100,0.014988,66.72,0.029976,26.325,6672
3,100,0.0134517,74.34,0.0403551,18.5633,7434
4,100,0.0107204,93.28,0.0428816,13.8775,9328
5,100,0.0090967,109.93,0.0454835,12.568,10993
6,100,0.00862143,115.99,0.0517286,9.38,11599
7,100,0.00687427,145.47,0.0481199,8.64286,14547
8,100,0.00633112,157.95,0.0506489,8.135,15795
9,100,0.00586854,170.4,0.0528169,6.85222,17040
10,100,0.0045901,217.86,0.045901,6.756,21786
11,100,0.00416441,240.13,0.0458085,6.18364,24013
12,100,0.00377245,265.08,0.0452694,6.13,26508
13,100,0.00318177,314.29,0.0413631,5.11692,31429
14,100,0.00313666,318.81,0.0439133,4.79429,31881
15,100,0.00319366,313.12,0.047905,4.42333,31312
16,100,0.00258552,386.77,0.0413683,4.2325,38677
17,100,0.00255617,391.21,0.0434549,3.97294,39121
18,100,0.00255076,392.04,0.0459137,3.89222,39204
19,100,0.00209921,476.37,0.039885,3.59316,47637
20,100,0.00206458,484.36,0.0412916,3.392,48436
20,100,0.00211269,473.33,0.0422538,3.756,47333
20,100,0.00234885,425.74,0.046977,3.422,42574
20,100,0.00200465,498.84,0.040093,3.539,49884
20,100,0.0021912,456.37,0.0438241,3.452,45637
20,100,0.002272,440.14,0.0454401,3.4945,44014
20,100,0.00207082,482.9,0.0414164,3.587,48290
20,100,0.00205364,486.94,0.0410728,3.869,48694
20,100,0.00204102,489.95,0.0408205,3.899,48995
20,100,0.00190212,525.73,0.0380423,3.7415,52573
20,100,0.00199704,500.74,0.0399409,3.7865,50074
20,100,0.00229316,436.08,0.0458631,3.6235,43608
20,100,0.00180388,554.36,0.0360776,3.8875,55436
20,100,0.00211278,473.31,0.0422556,3.608,47331
20,100,0.00205986,485.47,0.0411972,3.845,48547
20,100,0.00215179,464.73,0.0430357,3.754,46473
20,100,0.00212748,470.04,0.0425496,3.44,47004
20,100,0.00228943,436.79,0.0457886,3.5315,43679
20,100,0.00212517,470.55,0.0425035,3.7255,47055
20,100,0.00209652,476.98,0.0419305,3.917,47698
20,100,0.00203269,491.96,0.0406537,3.812,49196
20,100,0.00224926,444.59,0.0449853,3.39,44459
20,100,0.00210168,475.81,0.0420336,3.5265,47581
20,100,0.00210447,475.18,0.0420893,3.569,47518
20,100,0.00214611,465.96,0.0429221,3.517,46596
20,100,0.00206552,484.14,0.0413104,3.6355,48414
20,100,0.00218103,458.5,0.0436205,3.7205,45850
20,100,0.00212938,469.62,0.0425876,3.794,46962
20,100,0.00216483,461.93,0.0432966,3.8665,46193
20,100,0.00240223,416.28,0.0480446,3.403,41628
20,100,0.00225576,443.31,0.0451152,3.7235,44331
20,100,0.00245164,407.89,0.0490328,3.2945,40789
20,100,0.00223409,447.61,0.0446818,3.5205,44761
20,100,0.00206693,483.81,0.0413385,4.0165,48381
20,100,0.00229653,435.44,0.0459306,3.6615,43544
20,100,0.00238584,419.14,0.0477168,3.296,41914
20,100,0.00251553,397.53,0.0503107,3.1605,39753
20,100,0.00229085,436.52,0.0458169,3.5705,43652
20,100,0.00208229,480.24,0.0416458,3.6515,48024
20,100,0.00196017,510.16,0.0392034,4.1555,51016
20,100,0.00178945,558.83,0.0357891,4.568,55883
20,100,0.00205884,485.71,0.0411768,4.203,48571
20,100,0.00198303,504.28,0.0396605,3.6955,50428
20,100,0.00200827,497.94,0.0401655,3.958,49794
20,100,0.00224709,445.02,0.0449418,3.836,44502
20,100,0.00192378,519.81,0.0384756,3.6105,51981
20,100,0.00201593,496.05,0.0403185,4.046,49605
20,100,0.00218117,458.47,0.0436234,3.871,45847
20,100,0.00190927,523.76,0.0381854,3.8145,52376
20,100,0.00207267,482.47,0.0414534,3.99,48247
20,100,0.00226132,442.22,0.0452264,3.8425,44222
