Index,ThreadID
0,2
1,5
2,8
3,3
4,9
5,1
6,17
7,11
8,4
9,9
10,78
11,1
12,17
13,80
14,5
15,2
16,3
17,8
18,12
19,11
20,4
21,9
22,1
23,78
24,5
25,80
26,2
27,3
28,12
29,17
30,8
31,11
32,4
33,63
34,9
35,1
36,78
37,80
38,5
39,2
40,3
41,12
42,17
43,8
44,11
45,4
46,63
47,1
48,78
49,80
50,5
51,3
52,12
53,2
54,17
55,8
56,11
57,4
58,0
59,47
60,63
61,54
62,1
63,78
64,80
65,3
66,5
67,2
68,12
69,7
70,8
71,11
72,9
73,4
74,15
75,17
76,0
77,63
78,54
79,47
80,10
81,6
82,46
83,73
84,78
85,74
86,1
87,62
88,81
89,48
90,3
91,76
92,64
93,43
94,47
95,54
96,53
97,78
98,74
99,1
100,62
101,46
102,81
103,73
104,48
105,3
106,76
107,64
108,43
109,47
110,54
111,53
112,78
113,1
114,81
115,46
116,3
117,76
118,73
119,62
120,43
121,64
122,74
123,47
124,48
125,53
126,54
127,78
128,1
129,3
130,73
131,76
132,62
133,43
134,64
135,74
136,47
137,53
138,54
139,70
140,29
141,46
142,81
143,42
144,78
145,20
146,41
147,13
148,3
149,76
150,62
151,73
152,43
153,64
154,48
155,56
156,74
157,63
158,49
159,1
160,66
161,79
162,77
163,65
164,51
165,33
166,17
167,2
168,40
169,57
170,21
171,47
172,16
173,54
174,24
175,28
176,35
177,12
178,3
179,70
180,30
181,51
182,33
183,17
184,2
185,40
186,57
187,21
188,47
189,7
190,16
191,28
192,35
193,12
194,24
195,3
196,54
197,51
198,33
199,17
200,2
201,40
202,57
203,47
204,21
205,16
206,35
207,12
208,28
209,24
210,3
211,30
212,70
213,54
214,7
215,17
216,51
217,47
218,21
219,2
220,57
221,16
222,37
223,35
224,12
225,24
226,28
227,3
228,33
229,40
230,80
231,22
232,66
233,60
234,39
235,55
236,64
237,19
238,0
239,76
240,25
241,72
242,46
243,81
244,53
245,58
246,17
247,56
248,68
249,41
250,79
251,43
252,49
253,37
254,63
255,10
256,26
257,54
258,14
259,45
260,69
261,67
262,71
263,59
264,28
265,3
266,65
267,56
268,17
269,68
270,13
271,70
272,41
273,60
274,42
275,5
276,55
277,79
278,43
279,49
280,37
281,63
282,10
283,26
284,45
285,17
286,56
287,68
288,41
289,79
290,43
291,49
292,37
293,63
294,7
295,54
296,14
297,28
298,69
299,67
300,71
301,55
302,59
303,42
