Index,ThreadID
0,1
1,1
2,1
3,6
4,5
5,3
6,8
7,8
8,11
9,11
10,15
11,1
12,18
13,0
14,6
15,2
16,5
17,15
18,7
19,16
20,12
21,10
22,14
23,17
24,8
25,3
26,9
27,1
28,2
29,0
30,4
31,7
32,2
33,0
34,3
35,8
36,16
37,12
38,18
39,14
40,10
41,9
42,1
43,17
44,15
45,3
46,16
47,12
48,0
49,17
50,2
51,19
52,13
53,10
54,7
55,3
56,4
57,5
58,14
59,18
60,11
61,6
62,12
63,19
64,13
65,6
66,4
67,14
68,18
69,9
70,10
71,17
72,12
73,8
74,13
75,1
76,15
77,19
78,2
79,11
80,16
81,0
82,7
83,5
84,14
85,12
86,13
87,19
88,2
89,2
90,6
91,8
92,14
93,16
94,13
95,12
96,5
97,4
98,17
99,0
100,7
101,3
102,10
103,19
104,2
105,14
106,12
107,12
108,5
109,5
110,0
111,8
112,9
113,18
114,16
115,11
116,1
117,2
118,17
119,7
120,3
121,6
122,15
123,12
124,4
125,5
126,18
127,11
128,2
129,13
130,5
131,16
132,4
133,19
134,7
135,3
136,17
137,0
138,14
139,11
140,15
141,12
142,15
143,8
144,18
145,8
146,13
147,5
148,16
149,4
150,7
151,3
152,10
153,0
154,0
155,2
156,10
157,6
158,17
159,4
160,12
161,12
162,1
163,15
164,1
165,16
166,9
167,19
168,7
169,19
170,11
171,2
172,2
173,4
174,9
175,1
176,6
177,7
178,2
179,12
180,13
181,5
182,18
183,16
184,14
185,3
186,0
187,4
188,9
189,9
190,8
191,12
192,14
193,2
194,7
195,3
196,11
197,9
198,17
199,15
200,18
201,13
202,19
203,0
204,0
205,1
206,8
207,8
208,5
209,2
210,2
211,17
212,15
213,14
214,5
215,12
216,10
217,13
218,6
219,9
220,19
221,18
222,4
223,0
224,4
225,3
226,2
227,11
228,11
229,5
230,12
231,10
232,14
233,9
234,16
235,0
236,17
237,10
238,12
239,2
240,7
241,4
242,3
243,1
244,1
245,1
246,13
247,19
248,19
249,0
250,1
251,16
252,18
253,19
254,1
255,17
256,14
257,13
258,8
259,0
260,7
261,5
262,6
263,11
264,12
265,12
266,15
267,16
268,19
269,2
270,19
271,13
272,14
273,8
274,8
275,2
276,9
277,3
278,18
279,4
280,6
281,15
282,7
283,6
284,16
285,12
286,17
287,17
288,17
289,8
290,15
291,2
292,9
293,18
294,3
295,13
296,9
297,10
298,17
299,1
300,16
301,11
302,19
303,5
304,19
305,2
306,8
307,18
308,19
309,4
310,4
311,1
312,6
313,12
314,9
315,15
316,4
317,13
318,0
319,7
320,8
321,14
322,8
323,14
324,3
325,11
326,10
327,17
328,17
329,17
330,15
331,17
332,0
333,0
334,19
335,1
336,18
337,15
338,16
339,9
340,8
341,5
342,14
343,5
344,12
345,10
346,13
347,7
348,17
349,19
350,1
351,1
352,14
353,4
354,14
355,2
356,18
357,16
358,6
359,12
360,7
361,13
362,19
363,10
364,10
365,8
366,10
367,10
368,0
369,16
370,14
371,14
372,4
373,19
374,13
375,16
376,0
377,6
378,3
379,5
380,7
381,1
382,8
383,18
384,2
385,11
386,12
387,14
388,19
389,9
390,11
391,1
392,5
393,7
394,17
395,12
396,4
397,14
398,9
399,13
400,8
401,15
402,8
403,15
404,2
405,19
406,5
407,17
408,14
409,14
410,13
411,10
412,1
413,19
414,15
415,5
416,0
417,11
418,8
419,2
420,16
421,16
422,18
423,7
424,12
425,4
426,17
427,3
428,9
429,16
430,5
431,11
432,5
433,16
434,19
435,13
436,3
437,9
438,10
439,1
440,7
441,18
442,12
443,4
444,14
445,15
446,15
447,11
448,11
449,8
450,8
451,13
452,8
453,0
454,6
455,19
456,13
457,5
458,10
459,12
460,18
461,14
462,15
463,2
464,15
465,9
466,9
467,8
468,6
469,13
470,5
471,13
472,1
473,4
474,0
475,18
476,16
477,17
478,5
479,3
480,2
481,11
482,15
483,8
484,8
485,6
486,12
487,13
488,14
489,10
490,16
491,3
492,10
493,0
494,4
495,7
496,15
497,19
498,14
499,18
500,11
501,6
502,9
503,11
504,16
505,16
506,4
507,7
508,4
509,14
510,4
511,0
512,1
513,9
514,12
515,5
516,7
517,2
518,8
519,10
520,11
521,11
522,13
523,3
524,16
525,15
526,19
527,18
528,14
529,12
530,5
531,2
532,7
533,8
534,14
535,8
536,5
537,3
538,18
539,6
540,16
541,17
542,13
543,19
544,19
545,19
546,19
547,12
548,2
549,8
550,5
551,12
552,14
553,12
554,11
555,3
556,4
557,5
558,0
559,10
560,13
561,13
562,15
563,19
564,19
565,19
566,2
567,0
568,2
569,2
570,17
571,14
572,11
573,8
574,3
575,9
576,6
577,1
578,0
579,10
580,16
581,15
582,15
583,15
584,15
585,11
586,8
587,8
588,0
589,13
590,4
591,12
592,5
593,11
594,7
595,6
596,9
597,16
598,8
599,17
600,19
601,19
602,18
603,19
604,2
605,2
606,11
607,15
608,15
609,13
610,18
611,16
612,8
613,8
614,5
615,1
616,18
617,7
618,10
619,19
620,4
621,12
622,12
623,15
624,12
625,16
626,16
627,7
628,1
629,19
630,3
631,12
632,14
633,0
634,6
635,4
636,18
637,8
638,17
639,1
640,9
641,9
642,5
643,10
644,15
645,16
646,15
647,2
648,6
649,18
650,14
651,14
652,0
653,16
654,12
655,4
656,8
657,17
658,19
659,9
660,10
661,13
662,3
663,2
664,7
665,6
666,14
667,12
668,19
669,19
670,9
671,6
672,15
673,3
674,14
675,7
676,4
677,5
678,0
679,11
680,18
681,13
682,2
683,12
684,16
685,2
686,18
687,13
688,14
689,7
690,4
691,8
692,10
693,6
694,7
695,15
696,8
697,19
698,17
699,10
700,12
701,18
702,2
703,16
704,16
705,0
706,12
707,7
708,15
709,8
710,19
711,17
712,10
713,1
714,9
715,11
716,14
717,18
718,4
719,0
720,2
721,2
722,6
723,2
724,13
725,6
726,13
727,6
728,10
729,7
730,9
731,17
732,17
733,19
734,4
735,6
736,13
737,18
738,2
739,5
740,16
741,12
742,12
743,7
744,14
745,9
746,11
747,17
748,14
749,6
750,12
751,12
752,8
753,16
754,14
755,4
756,2
757,6
758,19
759,3
760,7
761,15
762,17
763,11
764,11
765,11
766,10
767,7
768,12
769,15
770,5
771,16
772,2
773,6
774,6
775,3
776,0
777,12
778,4
779,15
780,9
781,18
782,7
783,5
784,14
785,14
786,2
787,6
788,6
789,7
790,1
791,19
792,0
793,12
794,4
795,17
796,11
797,13
798,19
799,9
800,13
801,10
802,14
803,6
804,10
805,10
806,12
807,3
808,12
809,10
810,18
811,10
